filepath,filesize,formatted_filesize,manuscript,high_resolution,filename
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05471.jpeg,1297544,1.3 MB,mss0003_svasthani,FALSE,DSC05471.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05472.jpeg,1217075,1.2 MB,mss0003_svasthani,FALSE,DSC05472.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05473.jpeg,1274760,1.3 MB,mss0003_svasthani,FALSE,DSC05473.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05474.jpeg,1223186,1.2 MB,mss0003_svasthani,FALSE,DSC05474.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05475.jpeg,1229637,1.2 MB,mss0003_svasthani,FALSE,DSC05475.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05476.jpeg,1232838,1.2 MB,mss0003_svasthani,FALSE,DSC05476.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05477.jpeg,1227842,1.2 MB,mss0003_svasthani,FALSE,DSC05477.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05478.jpeg,1232689,1.2 MB,mss0003_svasthani,FALSE,DSC05478.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05479.jpeg,1231892,1.2 MB,mss0003_svasthani,FALSE,DSC05479.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05480.jpeg,1306299,1.3 MB,mss0003_svasthani,FALSE,DSC05480.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05481.jpeg,1218770,1.2 MB,mss0003_svasthani,FALSE,DSC05481.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/mss0003_svasthani/medium_resolution/DSC05482.jpeg,1184960,1.2 MB,mss0003_svasthani,FALSE,DSC05482.jpeg
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/,0,0 B,netratantra,FALSE,netratantra
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__000.JPG,10573445,10.6 MB,netratantra,TRUE,DOC__000.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__001.JPG,10275477,10.3 MB,netratantra,TRUE,DOC__001.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__002.JPG,10162186,10.2 MB,netratantra,TRUE,DOC__002.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__003.JPG,10298637,10.3 MB,netratantra,TRUE,DOC__003.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__004.JPG,10316628,10.3 MB,netratantra,TRUE,DOC__004.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__005.JPG,10216815,10.2 MB,netratantra,TRUE,DOC__005.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__006.JPG,10315525,10.3 MB,netratantra,TRUE,DOC__006.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__007.JPG,10217295,10.2 MB,netratantra,TRUE,DOC__007.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__008.JPG,10462046,10.5 MB,netratantra,TRUE,DOC__008.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__009.JPG,10124387,10.1 MB,netratantra,TRUE,DOC__009.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__010.JPG,10063389,10.1 MB,netratantra,TRUE,DOC__010.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__011.JPG,10074395,10.1 MB,netratantra,TRUE,DOC__011.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__012.JPG,9964460,10 MB,netratantra,TRUE,DOC__012.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__013.JPG,10120207,10.1 MB,netratantra,TRUE,DOC__013.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__014.JPG,10056523,10.1 MB,netratantra,TRUE,DOC__014.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__015.JPG,9972434,10 MB,netratantra,TRUE,DOC__015.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__016.JPG,10154260,10.2 MB,netratantra,TRUE,DOC__016.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__017.JPG,10214135,10.2 MB,netratantra,TRUE,DOC__017.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__018.JPG,10094861,10.1 MB,netratantra,TRUE,DOC__018.JPG
https://shakta-manuscripts.s3.eu-west-2.amazonaws.com/netratantra/high_resolution/DOC__019.JPG,9926335,9.9 MB,netratantra,TRUE,DOC__019.JPG
