filepath,filesize,formatted_filesize,catalogue_id,filename
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000027.pdf,424811,424.8 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000027.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000028.pdf,421260,421.3 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000028.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000029.pdf,433182,433.2 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000029.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000030.pdf,370586,370.6 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000030.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000031.pdf,342233,342.2 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000031.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000032.pdf,409109,409.1 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000032.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000033.pdf,400911,400.9 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000033.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000034.pdf,426154,426.2 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000034.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000035.pdf,417302,417.3 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000035.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000036.pdf,402760,402.8 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000036.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000037.pdf,390615,390.6 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000037.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000038.pdf,420272,420.3 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000038.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000039.pdf,402866,402.9 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000039.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000040.pdf,454717,454.7 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000040.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000041.pdf,389641,389.6 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000041.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000042.pdf,418720,418.7 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000042.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000043.pdf,412179,412.2 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000043.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000044.pdf,439198,439.2 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000044.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000045.pdf,418720,418.7 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000045.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_005/split/_0000000000000000000000000000000000000000000046.pdf,377929,377.9 KB,ochs_b_000_005,_0000000000000000000000000000000000000000000046.pdf
