page_number_english,page_number_bengali,notes,article,article2,article3,article4,article5,article6,article7
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,১,NA,প্রেম প্রদীপ | প্রথম প্রভা,NA,NA,NA,NA,NA,NA
3,২,NA,NA,NA,NA,NA,NA,NA,NA
4,৩,NA,NA,NA,NA,NA,NA,NA,NA
5,৪,NA,প্রেম প্রদীপ | দ্বিতীয় প্রভা,NA,NA,NA,NA,NA,NA
6,৫,NA,NA,NA,NA,NA,NA,NA,NA
7,৬,NA,NA,NA,NA,NA,NA,NA,NA
8,৭,NA,NA,NA,NA,NA,NA,NA,NA
9,৮,NA,NA,NA,NA,NA,NA,NA,NA
10,১৭,NA,বেদান্ত শাস্ত্র,NA,NA,NA,NA,NA,NA
11,১৮,NA,ব্রিটিস রাজ্য ও বৈষ্ণব বৃন্দ,NA,NA,NA,NA,NA,NA
12,১৯,NA,শ্রী দয়ানন্দ সরস্বতী ও তন্ত্র শাস্ত্র,NA,NA,NA,NA,NA,NA
13,২০,NA,NA,NA,NA,NA,NA,NA,NA
14,২১,NA,NA,NA,NA,NA,NA,NA,NA
15,২২,NA,NA,NA,NA,NA,NA,NA,NA
16,২৩,NA,NA,NA,NA,NA,NA,NA,NA
17,২৪,NA,দান ধর্ম ও পাদরী ডল সাহেব,NA,NA,NA,NA,NA,NA
18,২৫,NA,NA,NA,NA,NA,NA,NA,NA
19,২৬,NA,NA,NA,NA,NA,NA,NA,NA
20,২৭,NA,NA,NA,NA,NA,NA,NA,NA
21,২৮,NA,NA,NA,NA,NA,NA,NA,NA
22,২৯,NA,NA,NA,NA,NA,NA,NA,NA
23,৩০,NA,জীব তত্ত্ব,NA,NA,NA,NA,NA,NA
24,৩১,NA,নর্ম্মদা নদীর জল প্রপাত ও তত্তীরস্থ শ্বেত পর্ব্বত,NA,NA,NA,NA,NA,NA
25,৩২,NA,NA,NA,NA,NA,NA,NA,NA
26,৩৩,NA,NA,NA,NA,NA,NA,NA,NA
27,৩৪,NA,NA,NA,NA,NA,NA,NA,NA
28,৩৫,NA,দেহ তত্ত্ব,NA,NA,NA,NA,NA,NA
29,৩৬,NA,NA,NA,NA,NA,NA,NA,NA
30,৩৭,NA,প্রাপ্ত,NA,NA,NA,NA,NA,NA
31,৩৮,NA,প্রেম প্রদীপ | তৃতীয় প্রভা,NA,NA,NA,NA,NA,NA
32,৩৯,NA,NA,NA,NA,NA,NA,NA,NA
33,৪০,NA,NA,NA,NA,NA,NA,NA,NA
34,৪১,NA,NA,NA,NA,NA,NA,NA,NA
35,৪২,NA,NA,NA,NA,NA,NA,NA,NA
36,৪৩,NA,NA,NA,NA,NA,NA,NA,NA
37,৪৪,NA,NA,NA,NA,NA,NA,NA,NA
38,৪৫,NA,NA,NA,NA,NA,NA,NA,NA
39,৪৬,NA,NA,NA,NA,NA,NA,NA,NA
40,৪৭,NA,NA,NA,NA,NA,NA,NA,NA
41,৪৮,NA,NA,NA,NA,NA,NA,NA,NA
42,৪৯,NA,NA,NA,NA,NA,NA,NA,NA
43,৫০,NA,NA,NA,NA,NA,NA,NA,NA
44,৫১,NA,NA,NA,NA,NA,NA,NA,NA
45,৫২,NA,NA,NA,NA,NA,NA,NA,NA
46,৫৩,NA,NA,NA,NA,NA,NA,NA,NA
